building_id,pnu,building_name,legal_dong_name,lot_number,longitude,latitude,underground_parking_status,underground_parking_confirmed,underground_floor_count_gis,indoor_parking_slots_max,main_purpose_name,surface_elevation_m,relative_elevation_m,elevation_match_distance_m,terrain_risk,terrain_observed_flood_rate,terrain_lift_vs_average,distance_to_past_flood_m,inside_past_flood_area,static_risk,rain_trigger_level,rain_trigger_rule
1992305937243245913200000000,4725012100100250001,,경상북도 상주시 화개동,25-1,128.1819498,36.416404,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,182.6,UNKNOWN,,,197.9,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1996280197773376883000000000,4725042023107300001,,경상북도 상주시 화북면 상오리,730-1,127.8963589,36.5369056,UNDERGROUND_FLOOR_ONLY,0,1,4.0,제2종근린생활시설,,,3405.5,UNKNOWN,,,32193.3,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1987304008293245961900000000,4725010600101100023,,경상북도 상주시 서성동,110-23,128.1604475,36.4166585,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,57.85,7.59,3.8,MODERATE,0.052,0.8,642.8,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1993281888043406419300000000,4725042021105290000,,경상북도 상주시 화북면 용유리,529,127.9155454,36.5633757,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,378.8,UNKNOWN,,,31928.3,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1997279691043476146000000000,4725042024108100004,,경상북도 상주시 화북면 입석리,810-4,127.8917273,36.6263869,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,,,570.5,UNKNOWN,,,37833.6,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1999302692213232518500000000,4725011100100910003,,경상북도 상주시 개운동,91-3,128.1455988,36.4046876,CONFIRMED_BASEMENT_PARKING_USE,1,1,2.0,단독주택,72.85,20.36,56.1,VERY_LOW,0.0,0.0,1662.9,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1996282148433395700300000000,4725042021103260002,,경상북도 상주시 화북면 용유리,326-2,127.9183395,36.5536951,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공장,,,1382.4,UNKNOWN,,,31165.6,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1997303990013242100500000000,4725010700100850038,,경상북도 상주시 남성동,85-38,128.160192,36.4131814,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,59.57,9.31,4.1,MODERATE,0.052,0.8,680.9,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1992282087923406837500000000,4725042021104150000,,경상북도 상주시 화북면 용유리,415,127.9177823,36.5637353,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,,,550.2,UNKNOWN,,,31727.1,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2001308123373252560400000000,4725012300105160000,상주영업소,경상북도 상주시 헌신동,516,128.2064118,36.4221494,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제2종근린생활시설,67.51,21.96,49.2,VERY_LOW,0.0,0.0,2459.4,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
