building_id,pnu,building_name,legal_dong_name,lot_number,longitude,latitude,underground_parking_status,underground_parking_confirmed,underground_floor_count_gis,indoor_parking_slots_max,main_purpose_name,surface_elevation_m,relative_elevation_m,elevation_match_distance_m,terrain_risk,terrain_observed_flood_rate,terrain_lift_vs_average,distance_to_past_flood_m,inside_past_flood_area,static_risk,rain_trigger_level,rain_trigger_rule
1983344111783673641200000000,4721010600100640000,,경상북도 영주시 문정동,64,128.6154557,36.7967278,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,139.09,12.4,18.5,LOW,0.004,0.1,30461.7,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1996344678623682846700000000,4721010400104520000,휴천2차현대아파트,경상북도 영주시 휴천동,452,128.621979,36.8049332,CONFIRMED_BASEMENT_PARKING_USE,1,1,41.0,공동주택,152.18,20.8,7.0,VERY_LOW,0.0,0.0,29299.0,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1978168912433707917200000000,4721010200102590001,가동,경상북도 영주시 상망동,259-1,128.6521044,36.8380652,UNDERGROUND_FLOOR_ONLY,0,1,0.0,노유자시설,179.38,26.27,39.9,VERY_LOW,0.0,0.0,24330.3,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1982347283703720465300000000,4721010200102590001,나동,경상북도 영주시 상망동,259-1,128.651887,36.8384165,UNDERGROUND_FLOOR_ONLY,0,1,0.0,노유자시설,171.92,18.82,50.5,LOW,0.004,0.1,24316.4,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2013341863753652432700000000,4721034021105650005,,경상북도 영주시 장수면 반구리,565-5,128.5897171,36.777788,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공장,148.7,36.74,79.3,VERY_LOW,0.0,0.0,29575.4,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
2013341904913651168400000000,4721034021105650005,,경상북도 영주시 장수면 반구리,565-5,128.5901917,36.7766824,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공장,148.7,36.74,65.5,VERY_LOW,0.0,0.0,29491.5,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1995344610843684143100000000,4721010400104640004,,경상북도 영주시 휴천동,464-4,128.6212441,36.8061111,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,139.01,7.63,37.4,MODERATE,0.052,0.8,29253.8,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1996344712773682361200000000,4721010400104520000,휴천2차현대아파트,경상북도 영주시 휴천동,452,128.6223523,36.8044906,CONFIRMED_BASEMENT_PARKING_USE,1,1,41.0,공동주택,166.29,34.91,11.7,VERY_LOW,0.0,0.0,29309.2,0,VERY_LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1977344197853694052800000000,4721010500114570040,,경상북도 영주시 가흥동,1457-40,128.616806,36.8151005,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,139.02,3.16,2.8,HIGH,0.148,2.3,28844.4,0,HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
1980344887733701401700000000,4721010100105360004,성누가병원,경상북도 영주시 영주동,536-4,128.6246741,36.8216145,UNDERGROUND_FLOOR_ONLY,0,1,0.0,의료시설,149.3,12.48,21.6,LOW,0.004,0.1,27719.9,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
