underground_parking_status,underground_parking_evidence,floor_detail_rows_collected,indoor_parking_count,pnu,mgmBldrgstPk,platPlc,newPlatPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,dongNm,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,etcPurps,ugrndFlrCnt,grndFlrCnt,indrMechUtcnt,indrMechArea,indrAutoUtcnt,indrAutoArea,oudrMechUtcnt,oudrMechArea,oudrAutoUtcnt,oudrAutoArea,useAprDay,crtnDay,archArea,atchBldArea,atchBldCnt,bcRat,block,bylotCnt,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,heit,hhldCnt,hoCnt,itgBldCert,itgBldGrade,lot,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,platArea,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,vlRat,vlRatEstmTotArea
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,39.0,4713025332123930002,1229136022,경상북도 경주시 안강읍 산대리 2393-2번지,경상북도 경주시 구부랑4길 24-4 (안강읍 산대리),47130,25332,0,2393,0002,안강삼도타운,105동,2,집합,3,표제부,0,주건축물,02000,공동주택,공동주택(아파트),1,15,0,0,39,0,0,0,74,0,19941130,20251218,2487.995,1941.499,1,0,,1,0,0,,0,평스라브,철근콘크리트벽식조,0,0,,30.9,87,0,0,,,25301,24,471304715126,4,0,0,19930428,,,,,,4,1565,10,(철근)콘크리트,,1,,19930513,21,철근콘크리트구조,9744.659,9744.659,0,7576.49
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,39.0,4713025332123930002,1229136027,경상북도 경주시 안강읍 산대리 2393-2번지,경상북도 경주시 구부랑4길 24-1 (안강읍 산대리),47130,25332,0,2393,0002,안강삼도타운,111동/주차장,2,집합,3,표제부,0,주건축물,02000,공동주택,"주차장, 계단실",1,1,0,0,39,0,0,0,74,0,19941130,20221126,15.95,0,0,0,,1,0,0,,0,평스라브,철근콘크리트벽식조,0,0,,0,0,0,0,,,25301,24,471304715126,1,0,0,19930428,,,,,,4,1553,10,(철근)콘크리트,,0,,19930513,21,철근콘크리트구조,1168.024,1168.024,0,15.95
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,22.0,4713025631102450001,12291100322031,경상북도 경주시 건천읍 건천리 245-1번지,경상북도 경주시 내서로 1096 (건천읍 건천리),47130,25631,0,0245,0001,프리미엄 성보파크,,2,집합,3,표제부,0,주건축물,02000,공동주택,공동주택 외 2,1,12,0,0,22,240.1,0,0,25,288.9,20180529,20221126,683.84,0,0,57.18,,0,0,0,,0,철근콘크리트스라브,철근콘크리트구조,0,0,,38.4,40,5,0,,,25601,1096,471303305071,0,0,1196,20030121,1101,신축허가,5050105,건축과,2003,2,301,10,(철근)콘크리트,,1,,20030214,21,철근콘크리트구조,5993.01,5993.01,426.33,5098.87
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,8.0,4713025631103350015,1229142819,경상북도 경주시 건천읍 건천리 335-15번지,경상북도 경주시 건천1길 8-9 (건천읍 건천리),47130,25631,0,0335,0015,,,1,일반,2,일반건축물,0,주건축물,09000,의료시설,"의료시설,공공용시설",1,4,4,39.9,4,226.95,0,0,2,23,19940626,20231201,375.28,0,0,57.21,,0,0,0,,0,"아스팔트슁글,샌드위치판넬","철근콘크리트조, 경량철골조",0,0,,22.5,0,0,0,,,25601,8,471304715058,9,0,656,19930823,,,,,,0,559,10,(철근)콘크리트,,0,,19930908,21,철근콘크리트구조,1393.29,1393.29,163.46,1072.31
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,6.0,4713025921109960000,1229143551,경상북도 경주시 외동읍 입실리 996번지,경상북도 경주시 입실로 77 (외동읍 입실리),47130,25921,0,0996,0000,,,1,일반,2,일반건축물,0,주건축물,04000,제2종근린생활시설,근린생활시설,1,4,0,0,6,272.75,0,0,2,25.3,19941012,20221126,390.13,0,0,56.46,,3,0,0,,0,스라브,철근콘크리트,0,0,,15.5,0,0,0,,,25901,77,471303305052,0,0,691,19940205,,,,,,0,672,10,(철근)콘크리트,,0,,19940215,21,철근콘크리트구조,1908.56,1908.56,216.63,1496.92
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,2.0,4713025931103910008,12291100406573,경상북도 경주시 외동읍 죽동리 391-8번지,경상북도 경주시 죽동길 160-62 (외동읍 죽동리),47130,25931,0,0391,0008,,,1,일반,2,일반건축물,1,부속건축물,01000,단독주택,단독주택(주차장),1,0,0,0,2,25,0,0,0,0,20220804,20221126,0,0,0,0,,0,0,0,,0,기타지붕(판넬),철근콘크리트구조,0,0,,3.25,0,0,0,,,25901,160,471304716076,62,0,0,20220614,1202,증축신고,5050059,외동읍,2022,0,95,90,기타지붕,,0,,20220616,21,철근콘크리트구조,45.76,45.76,0,0
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,2.0,4713025934100570025,12291100213719,경상북도 경주시 외동읍 괘릉리 57-25번지,경상북도 경주시 앞등길 106-29 (외동읍 괘릉리),47130,25934,0,0057,0025,,,1,일반,2,일반건축물,0,주건축물,01000,단독주택,단독주택,1,2,0,0,2,23,0,0,0,0,20120605,20221126,129.64,0,0,19.12,,0,0,0,,0,스페니쉬 기와,철근콘크리트구조,1,0,,8.6,0,0,0,,,25901,106,471304715796,29,0,678,20111007,1101,신축허가,5050223,건축과,2011,0,1,90,기타지붕,,0,,20111115,21,철근콘크리트구조,197.98,197.98,23.07,156.4
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,2.0,4713025934100570038,12291100293631,경상북도 경주시 외동읍 괘릉리 57-38번지,경상북도 경주시 앞등길 106-31 (외동읍 괘릉리),47130,25934,0,0057,0038,,,1,일반,2,일반건축물,1,부속건축물,01000,단독주택,단독주택,1,0,0,0,2,39,0,0,0,0,20170327,20221126,0,0,0,0,,1,0,0,,0,(철근)콘크리트,철근콘크리트구조,0,0,,0.35,0,0,0,,,25901,106,471304715796,31,0,0,20131204,1101,신축허가,5050223,건축과,2016,0,1,10,(철근)콘크리트,,0,,20131230,21,철근콘크리트구조,39,39,0,0
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,166.0,4713025936109100000,12291100211536,경상북도 경주시 외동읍 문산리 910번지,,47130,25936,0,0910,0000,,주차장,1,일반,2,일반건축물,1,부속건축물,17000,공장,주차장,1,1,0,0,166,4077.97,0,0,6,84,20120302,20221126,30.6,0,0,0,,0,0,0,,0,샌드위치판넬,철근콘크리트구조,0,0,,2.7,0,0,0,,,,0,,0,0,0,20110324,1101,신축허가,5050223,건축과,2011,0,3,90,기타지붕,,0,,20110514,21,철근콘크리트구조,4108.54,4108.54,0,30.6
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,28.0,4713025936109500000,12291100289510,경상북도 경주시 외동읍 문산리 950번지,경상북도 경주시 문산공단길 118-28 (외동읍 문산리),47130,25936,0,0950,0000,윤하우스,,2,집합,3,표제부,0,주건축물,14000,업무시설,업무시설 외 1건,1,4,0,0,28,328,0,0,0,0,20170106,20221126,455.64,0,0,75.9,,0,0,0,,0,(철근)콘크리트,철근콘크리트구조,0,0,,15.2,0,41,0,,,25901,118,471304715438,28,0,600.3,20151204,1101,신축허가,5050223,건축과,2015,0,1,10,(철근)콘크리트,,1,,20160411,21,철근콘크리트구조,1893.99,1893.99,247.9,1488.12
