objectid,SHAPE__Area,SHAPE__Length,fldn_area,fldn_bgng_tm,fldn_bgng_ymd,fldn_cs_dtl_nm,fldn_dowa,fldn_dst_nm,fldn_end_tm,fldn_end_ymd,fldn_grade,fldn_yr,sn,stdg_ctpv_cd,stdg_sgg_cd
9575,4770.577518165,372.35667801659395,3090,1400,20120917,저지대침수,0.321,16호태풍산바로인한침수,1500,20120918,1,2012,949,47,47150
9576,92512.44831913,4243.812818505201,362311,1400,20120917,제방붕괴에의한침수,0.243,16호태풍산바에의한침수,1500,20120918,1,2012,951,47,47150
9577,3087.754320975,260.56452126229647,362311,1400,20120917,제방붕괴에의한침수,0.188,16호태풍산바에의한침수,1500,20120918,1,2012,950,47,47150
9578,2989.70961856,256.0811357149954,362311,1400,20120917,제방붕괴에의한침수,0.243,16호태풍산바에의한침수,1500,20120918,1,2012,955,47,47150
9579,3034.01504407,258.8107289609089,362311,1400,20120917,제방붕괴에의한침수,0.122,16호태풍산바에의한침수,1500,20120918,1,2012,952,47,47150
9580,170316.733932565,2818.29759143666,115849,1400,20120917,제방붕괴,2.561,16호태풍산바로인한침수,1500,20120918,5,2012,1040,47,47150
9581,11822.8361721,473.9325620213314,115849,1400,20120917,제방붕괴,1.807,16호태풍산바로인한침수,1500,20120918,4,2012,1034,47,47150
9582,10761.34061086,442.7186656216465,115849,1400,20120917,제방붕괴,1.478,16호태풍산바로인한침수,1500,20120918,3,2012,1020,47,47150
9583,3786.2804868,347.3010353134637,115849,1400,20120917,제방붕괴,1.675,16호태풍산바로인한침수,1500,20120918,4,2012,1041,47,47150
9584,842.195755925,148.30796438629085,115849,1400,20120917,제방붕괴,1.52,16호태풍산바로인한침수,1500,20120918,4,2012,1031,47,47150
9585,49873.95389433,1189.054330145258,115849,1400,20120917,제방붕괴,2.643,16호태풍산바로인한침수,1500,20120918,5,2012,1028,47,47150
9586,9841.780950315,635.2799003690466,115849,1400,20120917,제방붕괴,1.961,16호태풍산바로인한침수,1500,20120918,4,2012,1021,47,47150
9587,10664.15962381,547.4445182733432,115849,1400,20120917,제방붕괴로인한저지대침수,2.497,16호태풍산바로인한침수,1500,20120918,5,2012,1036,47,47150
9588,77150.59097167,1442.2798996599406,72887,0800,20120917,저지대 집중호우로인한 침수,0.921,제16호태풍(산바),0500,20120918,2,2012,733,47,47130
9589,41970.94566848,1473.3036086546347,72887,0800,20120917,저지대 집중호우로인한 침수,0.438,제16호태풍(산바),0500,20120918,1,2012,732,47,47130
9590,189686.52250671,2313.285791691738,88890,0800,20120917,형산강 역류로인한 침수,0.453,제16호태풍(산바),0500,20120918,1,2012,734,47,47130
9591,99337.96120607,1883.6547645369217,92320,0800,20120917,저지대 및 역류로인한 침수,0.494,제16호태풍(산바),0500,20120918,1,2012,744,47,47130
